,Tree Name,Girth (m),Height (m)
1,MANGO,,3
2,KHAJRI,,6
3,LEMON TREE,,3
4,NEEM,,4.5
5,BAMBOO,,9
6,MANGO,,3
7,BAMBOO,,6
8,MANGO,,6
9,BAMBOO,,22.5
10,KHAJRI,,9
11,MANGO,,4.5
12,NEEM,,4.5
13,NEEM,,4.5
14,DUMAR,,4.5
15,AMRUD,,3.75
16,BABUL,,7.5
17,CHURAMANI,,7.5
18,Imli,,6
19,KHAJRI,,7.5
20,KHAJRI,,7.5
21,KHAJRI,,7.5
22,KHAJRI,,9
23,KHAJRI,,7.5
24,KHAJRI,,7.5
25,KHAJRI,,7.5
